title,name,description,type,format,allowed_values,required
Identifier,id,"The unique identifier for this grant. Made up of your 360Giving prefix, and an identifier from your records. See the [360Giving Grant identifier guidance](http://www.threesixtygiving.org/standard/identifiers/#toc-grant-identifier) for details.",string,,,True
Title,title,A title for this grant activity. This should be under 140 characters long.,string,,,True
Description,description,A short description of this grant activity.,string,,,True
Currency,currency,The currency used in amounts. The currency used in amounts. Use the three-letter currency code from [ISO 4217](https://en.wikipedia.org/wiki/ISO_4217) eg: GBP,string,,"AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTN,BWP,BYR,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SPL,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TVD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VND,VUV,WST,XAF,XCD,XDR,XOF,XPF,YER,ZAR,ZMW,ZWD",True
Amount Applied For,amountAppliedFor,"Total amount applied for in numbers (do not include commas or currency symbols such as £). If you have provided detailed transaction information on a separate table, this should equal the sum of all the application transactions for this grant.",number,,,False
Amount Awarded,amountAwarded,"Total amount awarded in numbers (do not include commas or currency symbols such as £). If you have provided detailed transaction information on a separate table, this should equal the sum of all the award transactions for this grant.",number,,,True
Amount Disbursed,amountDisbursed,"Total amount disbursed (paid) to this grantee when this record was last updated (in numbers: do not include commas or currency symbols such as £)). If you have provided detailed transaction information on a separate table, this should equal the sum of all the disbursement transactions for this grant.",number,,,False
Award Date,awardDate,When was the decision to award this grant made. Dates should be in YYYY-MM-DD format.,datetime,,,True
URL,url,"A URL (Web Address) where further information about this grant can be found. This could point to the website of the recipient organisation, or might link to further details on the funders website.",string,,,False
Planned Dates:Start Date,plannedDates/0/startDate,"When the applicant / implementing organisation originally intend this activity to take place.  All events should have a start date. Dates should be in YYYY-MM-DD format. If the month or day are not available, these may be omitted.",datetime,,,False
Planned Dates:End Date,plannedDates/0/endDate,"When the applicant / implementing organisation originally intend this activity to take place.  Events or activities lasting more than one day should have either a duration (in months) or an end date. Dates should be in YYYY-MM-DD format. If the month or day are not available, these may be omitted.",datetime,,,False
Planned Dates:Duration (months),plannedDates/0/duration,When the applicant / implementing organisation originally intend this activity to take place.  Events or activities lasting more than one day should have either a duration (in months) or an end date.,string,,,False
Recipient Org:Identifier,recipientOrganization/0/id,"Details of the recipient of this grant. A globally unique identifier for this organisation. This is important to enable data on funders and recipients to be linked up across different grant-makers. The [Organisation Identifier Standard](http://www.threesixtygiving.org/standard/identifiers/#toc-organisation-identifier) guidance explains how to create this ID, based either on the known company or charity number, or upon identifiers held in the grant-maker's internal systems.",string,,,True
Recipient Org:Name,recipientOrganization/0/name,Details of the recipient of this grant. Organisation name,string,,,True
Recipient Org:Charity Number,recipientOrganization/0/charityNumber,"Details of the recipient of this grant. Registered charity number, if applicable.",string,,,False
Recipient Org:Company Number,recipientOrganization/0/companyNumber,"Details of the recipient of this grant. Registered UK company number, if applicable.",string,,,False
Recipient Org:Street Address,recipientOrganization/0/streetAddress,Details of the recipient of this grant. Building number and street name.,string,,,False
Recipient Org:City,recipientOrganization/0/addressLocality,Details of the recipient of this grant. City or town.,string,,,False
Recipient Org:County,recipientOrganization/0/addressRegion,Details of the recipient of this grant. County,string,,,False
Recipient Org:Postal Code,recipientOrganization/0/postalCode,Details of the recipient of this grant. Postal code (please try and provide a post code whenever possible),string,,,False
Recipient Org:Country,recipientOrganization/0/addressCountry,Details of the recipient of this grant. Country,string,,,False
Recipient Org:Description,recipientOrganization/0/description,Details of the recipient of this grant. A short description of this organisation and its area of work,string,,,False
Recipient Org:Web Address,recipientOrganization/0/url,Details of the recipient of this grant. A web address for the Organisation,string,,,False
Beneficiary Location:Name,beneficiaryLocation/0/name,Information about the location of beneficiaries. Further information about beneficiaries can be provided through classifications. A name for this location.,string,,,False
Beneficiary Location:Country Code,beneficiaryLocation/0/countryCode,Information about the location of beneficiaries. Further information about beneficiaries can be provided through classifications. The ISO Country Code of the location of this activity.,string,,,False
Beneficiary Location:Latitude,beneficiaryLocation/0/latitude,Information about the location of beneficiaries. Further information about beneficiaries can be provided through classifications. The latitude of a point location,string,,,False
Beneficiary Location:Longitude,beneficiaryLocation/0/longitude,Information about the location of beneficiaries. Further information about beneficiaries can be provided through classifications. The longitude of a point location,string,,,False
Beneficiary Location:Geographic Code,beneficiaryLocation/0/geoCode,"Information about the location of beneficiaries. Further information about beneficiaries can be provided through classifications. A code referring to a geographical area, drawn from an established gazetteer. For example, the code for a local authority ward, or parliamentary constituency.",string,,,False
Beneficiary Location:Geographic Code Type,beneficiaryLocation/0/geoCodeType,"Information about the location of beneficiaries. Further information about beneficiaries can be provided through classifications. The type of Geographic Code (geoCode) used (e.g. Ward, Parliamentary Constituency etc.). This value for this field should be drawn from the [codelist of geographic code types](https://github.com/ThreeSixtyGiving/standard/tree/master/codelists/geoCodeType.csv).",string,,,False
Funding Org:Identifier,fundingOrganization/0/id,"Details of the funder A globally unique identifier for this organisation. This is important to enable data on funders and recipients to be linked up across different grant-makers. The [Organisation Identifier Standard](http://www.threesixtygiving.org/standard/identifiers/#toc-organisation-identifier) guidance explains how to create this ID, based either on the known company or charity number, or upon identifiers held in the grant-maker's internal systems.",string,,,True
Funding Org:Name,fundingOrganization/0/name,Details of the funder Organisation name,string,,,True
Funding Org:Department,fundingOrganization/0/department,Details of the funder The department or sub-unit of this organisation making or receiving the grant.,string,,,False
Grant Programme:Code,grantProgramme/0/code,- An identifier for this grant programme.,string,,,False
Grant Programme:Title,grantProgramme/0/title,- The title of this grant programme.,string,,,False
Grant Programme:URL,grantProgramme/0/url,- A web link to more details of this grant programme.,string,,,False
From an open call?,fromOpenCall,Was this grant made as the result of an open call for applications? Values should be 'Yes' or 'No',string,,"Yes,No",False
Last modified,dateModified,The date when information on this grant was last updated,datetime,,,False
Data Source,dataSource,"A web link pointing to the source of this data. This may be an original 360Giving data file, a file from which the data was converted, or an organisation website.",string,,,False
