title,name,description,type,format,allowed_values,required
Identifier,id,"The unique identifier for this grant. Made up of your 360Giving prefix, and an identifier from your records. See the [360Giving Grant identifier guidance](http://www.threesixtygiving.org/standard/identifiers/#toc-grant-identifier) for details.",string,,,True
Title,title,A title for this grant activity. This should be under 140 characters long.,string,,,True
Description,description,A short description of this grant activity.,string,,,True
Currency,currency,The currency used in amounts. The currency used in amounts. Use the three-letter currency code from [ISO 4217](https://en.wikipedia.org/wiki/ISO_4217) eg: GBP,string,,,True
Amount Applied For,amountAppliedFor,"Total amount applied for in numbers (do not include commas or currency symbols such as £). If you have provided detailed transaction information on a separate table, this should equal the sum of all the application transactions for this grant.",number,,,False
Amount Awarded,amountAwarded,"Total amount awarded in numbers (do not include commas or currency symbols such as £). If you have provided detailed transaction information on a separate table, this should equal the sum of all the award transactions for this grant.",number,,,True
Amount Disbursed,amountDisbursed,"Total amount disbursed (paid) to this grantee when this record was last updated (in numbers: do not include commas or currency symbols such as £)). If you have provided detailed transaction information on a separate table, this should equal the sum of all the disbursement transactions for this grant.",number,,,False
Award Date,awardDate,When was the decision to award this grant made. Dates should be in YYYY-MM-DD format.,date-time,,,True
URL,url,"A URL (Web Address) where further information about this grant can be found. This could point to the website of the recipient organisation, or might link to further details on the funders website.",uri,,,False
Planned Dates:Start Date,plannedDates/0/startDate,"All events should have a start date. Dates should be in YYYY-MM-DD format. If the month or day are not available, these may be omitted.",date-time,,,False
Planned Dates:End Date,plannedDates/0/endDate,"Events or activities lasting more than one day should have either a duration (in months) or an end date. Dates should be in YYYY-MM-DD format. If the month or day are not available, these may be omitted.",date-time,,,False
Planned Dates:Duration (months),plannedDates/0/duration,Events or activities lasting more than one day should have either a duration (in months) or an end date.,string,,,False
Recipient Org:Identifier,recipientOrganization/0/id,"A globally unique identifier for this organisation. This is important to enable data on funders and recipients to be linked up across different grant-makers. The [Organisation Identifier Standard](http://www.threesixtygiving.org/standard/identifiers/#toc-organisation-identifier) guidance explains how to create this ID, based either on the known company or charity number, or upon identifiers held in the grant-maker's internal systems.",string,,,True
Recipient Org:Name,recipientOrganization/0/name,Organisation name,string,,,True
Recipient Org:Charity Number,recipientOrganization/0/charityNumber,"Registered charity number, if applicable.",string,,,False
Recipient Org:Company Number,recipientOrganization/0/companyNumber,"Registered UK company number, if applicable.",string,,,False
Recipient Org:Street Address,recipientOrganization/0/streetAddress,Building number and street name.,string,,,False
Recipient Org:City,recipientOrganization/0/addressLocality,City or town.,string,,,False
Recipient Org:County,recipientOrganization/0/addressRegion,County,string,,,False
Recipient Org:Country,recipientOrganization/0/addressCountry,Country,string,,,False
Recipient Org:Postal Code,recipientOrganization/0/postalCode,Postal code (please try and provide a post code whenever possible),string,,,False
Recipient Org:Description,recipientOrganization/0/description,A short description of this organisation and its area of work,string,,,False
Recipient Org:Web Address,recipientOrganization/0/url,A web address for the Organisation,uri,,,False
Beneficiary Location:Name,beneficiaryLocation/0/name,A name for this location.,string,,,False
Beneficiary Location:Country Code,beneficiaryLocation/0/countryCode,The ISO Country Code of the location of this activity.,string,,,False
Beneficiary Location:Latitude,beneficiaryLocation/0/latitude,The latitude of a point location,string,,,False
Beneficiary Location:Longitude,beneficiaryLocation/0/longitude,The longitude of a point location,string,,,False
Beneficiary Location:Geographic Code,beneficiaryLocation/0/geoCode,"A code referring to a geographical area, drawn from an established gazetteer. For example, the code for a local authority ward, or parliamentary constituency.",string,,,False
Beneficiary Location:Geographic Code Type,beneficiaryLocation/0/geoCodeType,"The type of Geographic Code (geoCode) used (e.g. Ward, Parliamentary Constituency etc.). This value for this field should be drawn from the [codelist of geographic code types](https://github.com/ThreeSixtyGiving/standard/tree/master/codelists/geoCodeType.csv).",string,,,False
Funding Org:Identifier,fundingOrganization/0/id,"A globally unique identifier for this organisation. This is important to enable data on funders and recipients to be linked up across different grant-makers. The [Organisation Identifier Standard](http://www.threesixtygiving.org/standard/identifiers/#toc-organisation-identifier) guidance explains how to create this ID, based either on the known company or charity number, or upon identifiers held in the grant-maker's internal systems.",string,,,True
Funding Org:Name,fundingOrganization/0/name,Organisation name,string,,,True
Funding Org:Department,fundingOrganization/0/department,The department or sub-unit of this organisation making or receiving the grant.,string,,,False
Grant Programme:Code,grantProgramme/0/code,An identifier for this grant programme.,string,,,False
Grant Programme:Title,grantProgramme/0/title,The title of this grant programme.,string,,,False
Grant Programme:URL,grantProgramme/0/url,A web link to more details of this grant programme.,uri,,,False
From an open call?,fromOpenCall,Was this grant made as the result of an open call for applications? Values should be 'Yes' or 'No',string,,,False
Related Activity,relatedActivity,The identifiers of any related activities (e.g. other grants given as part of a multi-grant project),array,,,False
Last modified,dateModified,The date and time when information about this grant was last updated.,date-time,,,False
Data Source,dataSource,"A web link pointing to the source of this data. This may be an original 360Giving data file, a file from which the data was converted, or an organisation website.",uri,,,False
